visit,day_obs,seq_num,rotator_angle,science_program,band,alt,az,mjd
2026033100374,20260331,374,60.154822641385685,BLOCK-T614_triplets,i,0.528142823778463,1.56878776979471,61131.19743065595
2026033100377,20260331,377,60.15531809945412,BLOCK-T614_triplets,i,0.528113535870518,1.56880482643593,61131.1991790712
2026033100380,20260331,380,60.15580712276544,BLOCK-T614_triplets,i,0.528136172680739,1.56879159427875,61131.200937189904
2026033100383,20260331,383,60.15627984276895,BLOCK-T614_triplets,i,0.528140674683808,1.56878896879853,61131.20270507135
2026033100386,20260331,386,60.156722618507814,BLOCK-T614_triplets,i,0.528115018299324,1.56880394208582,61131.2044720947
2026033100389,20260331,389,60.15715234679803,BLOCK-T614_triplets,i,0.528114764617223,1.56880403394333,61131.2062211586
2026033100402,20260331,402,-14.845493340114084,BLOCK-T614_triplets,i,0.528149292348821,1.56865435371825,61131.21427054495
2026033100405,20260331,405,-14.845163285060739,BLOCK-T614_triplets,i,0.528149857938929,1.56865400668959,61131.21603981565
2026033100408,20260331,408,-14.84483999376639,BLOCK-T614_triplets,i,0.528156554010509,1.56865013361743,61131.21780931825
2026033100411,20260331,411,-14.844551741599966,BLOCK-T614_triplets,i,0.528154250000774,1.56865145669954,61131.2195813845
2026033100414,20260331,414,-14.844278652907413,BLOCK-T614_triplets,i,0.528148650524793,1.5686547224073,61131.2213574732
2026033100417,20260331,417,-14.844019881266705,BLOCK-T614_triplets,i,0.52819493564143,1.56862765483964,61131.223133420994
2026033100420,20260331,420,-14.843793111637437,BLOCK-T614_triplets,i,0.528164906773044,1.56864523901273,61131.2248994792
2026033100423,20260331,423,-14.843560152203953,BLOCK-T614_triplets,i,0.528173793911799,1.56864007985841,61131.22668189095
2026033100426,20260331,426,-14.843367849171257,BLOCK-T614_triplets,i,0.528162697697856,1.56864478401617,61131.2284407197
2026033100429,20260331,429,-14.843165035383747,BLOCK-T614_triplets,i,0.528151002278848,1.5686534746098,61131.23019933025
2026033100432,20260331,432,-14.843017558786892,BLOCK-T614_triplets,i,0.528166930550402,1.56864415717541,61131.2319563227
2026033100435,20260331,435,-14.842874785386305,BLOCK-T614_triplets,i,0.528158817386781,1.56864885663109,61131.2337113337
2026033100438,20260331,438,-14.842677246456521,BLOCK-T614_triplets,i,0.528154995994227,1.56865109096535,61131.23665489296
2026033100441,20260331,441,-14.842585082148254,BLOCK-T614_triplets,i,0.528165524263168,1.56864493867081,61131.2384252621
2026033100444,20260331,444,-14.84250797541305,BLOCK-T614_triplets,i,0.528151081929671,1.56865329220521,61131.240186363604
2026033100447,20260331,447,-14.842453319142423,BLOCK-T614_triplets,i,0.528171372480589,1.56864146486404,61131.2419537541
2026033100450,20260331,450,-14.84239707225263,BLOCK-T614_triplets,i,0.528156652916053,1.56865013451674,61131.243723168096
2026033100453,20260331,453,-14.842387935650564,BLOCK-T614_triplets,i,0.528170758822941,1.56864188396552,61131.24549722245
2026033100456,20260331,456,-14.842401178319145,BLOCK-T614_triplets,i,0.52815217778648,1.56865090193159,61131.2472583511
2026033100470,20260331,470,-44.058629192934944,BLOCK-T614_triplets,i,0.52429622711853,3.14158429206833,61131.258964025605
2026033100473,20260331,473,-44.36574920405901,BLOCK-T614_triplets,i,0.524295737392945,3.14158394403758,61131.26098064905
2026033100476,20260331,476,-44.65521616557176,BLOCK-T614_triplets,i,0.524295284422175,3.14158351044446,61131.2629797916
2026033100479,20260331,479,-44.932150386576026,BLOCK-T614_triplets,i,0.524294805870792,3.14158303407016,61131.264990704556
2026033100482,20260331,482,-45.199564645968174,BLOCK-T614_triplets,i,0.524294448527185,3.14158271620465,61131.2670048459
2026033100485,20260331,485,-45.450114352210136,BLOCK-T614_triplets,i,0.524294048333744,3.14158225136713,61131.26901072775
2026033100488,20260331,488,-45.69215358203869,BLOCK-T614_triplets,i,0.524293705904462,3.14158177471017,61131.27104808275
