state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
935,11105,R43,S11,184,R43_S11,126.99,253.99,283.9672
936,11136,R01,S22,8,R01_S22,-84.76,-211.76,228.0933
936,11136,R02,S11,13,R02_S11,-0.01,-254.01,254.01
936,11136,R03,S02,20,R03_S02,169.24,-296.26,341.1923
936,11136,R10,S11,31,R10_S11,-254.01,-127.01,283.994
936,11136,R11,S02,38,R11_S02,-84.75,-169.25,189.2832
936,11136,R12,S01,46,R12_S01,0.0,-169.25,169.25
936,11136,R13,S21,61,R13_S21,127.0,-84.75,152.6812
936,11136,R14,S21,70,R14_S21,254.0,-84.75,267.7659
936,11136,R20,S12,77,R20_S12,-211.76,-0.01,211.76
936,11136,R21,S11,85,R21_S11,-127.0,0.0,127.0
936,11136,R22,S20,96,R22_S20,-42.25,42.25,59.7505
936,11136,R23,S01,100,R23_S01,127.0,-42.25,133.8434
936,11136,R24,S02,110,R24_S02,296.25,-42.25,299.2476
936,11136,R30,S21,124,R30_S21,-254.0,169.25,305.2238
936,11136,R31,S01,127,R31_S01,-127.0,84.75,152.6812
936,11136,R32,S00,135,R32_S00,-42.25,84.75,94.6975
936,11136,R33,S02,146,R33_S02,169.25,84.75,189.2832
936,11136,R34,S21,160,R34_S21,254.0,169.25,305.2238
936,11136,R41,S11,166,R41_S11,-127.01,253.99,283.9762
936,11136,R42,S11,175,R42_S11,-0.01,253.99,253.99
936,11136,R43,S02,182,R43_S02,169.24,211.74,271.0646
937,11141,R01,S10,3,R01_S10,-169.26,-254.01,305.2377
937,11141,R02,S20,15,R02_S20,-42.26,-211.76,215.9357
937,11141,R03,S02,20,R03_S02,169.24,-296.26,341.1923
937,11141,R10,S11,31,R10_S11,-254.01,-127.01,283.994
937,11141,R11,S12,41,R11_S12,-84.75,-127.0,152.6812
937,11141,R12,S10,48,R12_S10,-42.25,-127.0,133.8434
937,11141,R13,S20,60,R13_S20,84.75,-84.75,119.8546
937,11141,R14,S10,66,R14_S10,211.75,-127.0,246.9151
937,11141,R20,S02,74,R20_S02,-211.76,-42.26,215.9357
937,11141,R21,S00,81,R21_S00,-169.25,-42.25,174.4438
937,11141,R22,S10,93,R22_S10,-42.25,0.0,42.25
937,11141,R23,S12,104,R23_S12,169.25,0.0,169.25
937,11141,R24,S11,112,R24_S11,254.0,0.0,254.0
937,11141,R30,S00,117,R30_S00,-296.25,84.75,308.1341
937,11141,R31,S02,128,R31_S02,-84.75,84.75,119.8546
937,11141,R32,S21,142,R32_S21,0.0,169.25,169.25
937,11141,R33,S01,145,R33_S01,127.0,84.75,152.6812
937,11141,R34,S00,153,R34_S00,211.75,84.75,228.0803
937,11141,R41,S22,170,R41_S22,-84.76,296.24,308.1272
937,11141,R42,S01,172,R42_S01,-0.01,211.74,211.74
937,11141,R43,S00,180,R43_S00,84.74,211.74,228.0673
938,11143,R01,S10,3,R01_S10,-169.26,-254.01,305.2377
938,11143,R02,S00,9,R02_S00,-42.26,-296.26,299.2589
938,11143,R03,S02,20,R03_S02,169.24,-296.26,341.1923
