ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index,display_x,panel
136,20260324,True,danish,12,34597,61124.06039432875,61124.0797584868,61124.07007366351,0.07866677464396292,0.8032195685900518,0.06670629131697245,0.9163820806227386,0.051875126235621655,0.9216445861491384,0.035152030847529124,0.960432783079269,0.060342532116277985,0.9004197546102994,0.07443282028782965,0.8595594910114648,51,15.244921882316703,1.0
137,20260324,True,danish,9,25935,61124.0840036119,61124.0980957322,61124.091047169095,0.061934903665122866,0.9071356799448327,0.06041200515061205,0.9228204403190381,0.04431692297741361,0.948192947889869,0.039384700622065796,0.9789117907575181,0.05244207986817787,0.9392652147278144,0.05865786933329735,0.9207031041313991,52,15.748286016314523,1.0
138,20260325,False,danish,18,52109,61125.0860316832,61125.1159735658,61125.10129668805,0.07198940959127013,0.8266569623651561,0.05176535584741311,0.888373604798472,0.054136961514601685,0.8867668382569542,0.06719230879583266,0.8123460378472738,0.06186223428445047,0.8535358608169641,0.06302842880825679,0.9042615033375562,53,18.33139480598038,1.0
139,20260325,False,danish,12,34951,61125.1419292701,61125.1614162543,61125.15168126187,0.07353082575161968,0.7807761097671313,0.05960656167965369,0.8498807794739776,0.05886990812052665,0.8638080505187141,0.08183482198112167,0.6897564072482426,0.06914175421152283,0.7960553367520165,0.05968556743248176,0.898590697256679,54,19.540624577668495,1.0
140,20260325,False,danish,12,34095,61125.1635024264,61125.1828957814,61125.17318899094,0.0853498834990754,0.7014022457003415,0.07329111923705141,0.7620796596885526,0.0721732875268863,0.7894852805717499,0.09391969456798055,0.5676946841250295,0.08167937810810447,0.7051654675214184,0.06307358994025727,0.8852191643668919,55,20.056810075358953,1.0
141,20260325,False,danish,12,36058,61125.2929618313,61125.31233676545,61125.30265990183,0.07377941755750098,0.7624266649975546,0.06081280508653379,0.8410525712125896,0.062109876667722545,0.8512473028961808,0.0800427923154805,0.700031155461586,0.06965286264568686,0.7886894236419777,0.06521622135364845,0.8740547297549167,56,23.16411193658132,1.0
142,20260325,False,danish,12,36033,61125.3144235208,61125.33379270865,61125.32410831967,0.07415005826508993,0.7644699879335567,0.06453407204622806,0.8215205979204998,0.06219125302299842,0.8553035595687635,0.07793619135884282,0.7194838460900331,0.07000835570072468,0.7901944978782133,0.06615055646971471,0.8798592296563787,57,23.678873964818195,1.0
143,20260325,False,danish,12,35702,61125.33968792376,61125.3591224719,61125.349422040425,0.07142021220815031,0.773494569158713,0.0648675166714671,0.8176188231281659,0.06291504318054414,0.8516228651794879,0.07841216887765362,0.7124512519658994,0.06966959939149875,0.7887968773580666,0.07355645782081814,0.8389536929866752,58,24.286403262929525,1.0
144,20260325,False,danish,12,35873,61125.361203092456,61125.38069359815,61125.370963889734,0.07093801225364321,0.7835179171434888,0.06489464098630494,0.8198575008800668,0.06641412393087887,0.8399095247270738,0.07740192146645927,0.726198847369242,0.07008104115137972,0.7923709475299678,0.07512521452225399,0.8456063980488311,59,24.803407646366395,1.0
145,20260326,False,danish,6,13606,61126.21981447445,61126.22868888509,61126.224244713645,0.09068603450092445,0.6769289168817704,0.08537266255070652,0.694925487458257,0.08687942431407614,0.7102139635505148,0.10472400293231433,0.47398235110271103,0.09223285684046159,0.6390126797483133,0.08970875252654298,0.8002092774799392,60,27.536753461376065,1.0
146,20260327,False,danish,15,45510,61127.0797086408,61127.10347761035,61127.09160806496,0.054065550408387765,0.96933840833613,0.06505608460351456,0.9599775493927605,0.02660947819983715,0.9780784152530625,0.03327580819280519,0.9591538240272053,0.04735694676035801,0.9666370492522895,0.05676071790730792,0.9538819803364255,61,30.3225068282336,1.0
147,20260327,False,danish,12,36392,61127.10788711055,61127.1272714589,61127.11759790617,0.052441462357198446,0.9024784433080305,0.0549631080210407,0.9131210692253983,0.05392039541091382,0.8856640057037394,0.04984830315098509,0.903527503405672,0.052828289262940975,0.90119775541071,0.06774315257514271,0.8665216784442749,62,30.9462630173075,1.0
148,20260327,False,danish,12,36173,61127.13032385315,61127.14979143115,61127.14007935132,0.06102322222722118,0.8464490742962713,0.06339287782774744,0.8515610865768044,0.06427373848760375,0.8362703382336756,0.059736393764984,0.8568482926636107,0.06213300413124781,0.8477821979425906,0.08051589508514786,0.80301859981539,63,31.48581770074088,1.0
149,20260327,False,danish,9,24034,61127.1584934185,61127.1799806571,61127.1720485363,0.05057620317642234,0.9065972649908298,0.05088617353484021,0.9135029208757047,0.03813463983316331,0.9458036284225689,0.0528018517077704,0.8945265538502616,0.0484500807113236,0.9151075920348413,0.058904464201470545,0.9182781792431968,64,32.253078140260186,1.0
150,20260327,False,danish,12,32407,61127.181775793695,61127.201654616045,61127.191757240136,0.04409035102979416,0.9302737981159149,0.04347858441121228,0.9405267269937455,0.031612081167681896,0.9624805573138265,0.047969899196582885,0.9146432229214534,0.04223381719965594,0.9369810763362352,0.05156368725348908,0.9456459726036096,65,32.72608703240985,1.0
151,20260327,False,danish,12,26555,61127.21771032525,61127.23725851265,61127.22747488286,0.06126232667867664,0.8439401758793567,0.060712382789866785,0.8773547036113558,0.06264685882046735,0.8552824287197295,0.06721605038672365,0.8016358109022551,0.06301129351903981,0.8445532797781743,0.08111848044349934,0.8117582447737167,66,33.58331045770319,1.0
152,20260327,False,danish,12,27217,61127.239366728696,61127.25894688355,61127.249134452686,0.06387166648031321,0.8242162123641887,0.0639740463299503,0.8513083306696033,0.07361431971401416,0.8018220568659392,0.06914950134852824,0.7853240302974506,0.06777350143401585,0.8156676575492954,0.0779932948559999,0.8191231920516276,67,34.10314013360767,1.0
153,20260327,False,danish,12,29132,61127.261268172544,61127.2808328685,61127.27105509386,0.05974894438140699,0.8459435151816674,0.06019063531178973,0.8656902216228091,0.05636931145857993,0.8795562823972384,0.06475923909355821,0.826045936723888,0.06034092155457266,0.8543089889814007,0.07383856110432714,0.8304708827094022,68,34.6292355217156,1.0
154,20260327,False,danish,12,32485,61127.2829279284,61127.3025038198,61127.29271040331,0.05563546670518771,0.8668298354303856,0.05704354915930271,0.8770977080302137,0.0565105401226052,0.8808906149703887,0.06545061402304654,0.8201645330995585,0.05879306012859048,0.8612456728826366,0.07380801702511965,0.8539301318342853,69,35.148962948529515,1.0
155,20260327,False,danish,12,35212,61127.305467654005,61127.32508793676,61127.31528018456,0.046958144170835776,0.9086486433339241,0.05227176695723803,0.9133169436033496,0.05663100804276272,0.8814358129208476,0.06122564290710673,0.8397253112622685,0.054527642866093164,0.8857816777800974,0.060951485328204366,0.9030093016864893,70,35.690637698513456,1.0
156,20260327,False,danish,12,36273,61127.32719897895,61127.3468177154,61127.33702538185,0.047717262581312064,0.9098675330179756,0.04769106137839199,0.9319515670136,0.0439998615058525,0.9271113812899298,0.05493766136429591,0.8793159023578611,0.048748099789539714,0.9120615959198416,0.05998963565911042,0.9117181428395786,71,36.21252243354684,1.0
157,20260331,False,danish,12,37057,61131.1156590288,61131.1350339801,61131.125340510276,0.0692828464536486,0.8293641023704148,0.07249598606128757,0.7825320109023519,0.06836253685598619,0.8140677774027332,0.07386915345086127,0.7608878646621029,0.07103849147583866,0.7967129388344008,0.07737251996260247,0.8361265631296279,72,38.129893994121815,1.0
158,20260331,False,danish,12,37096,61131.13711055245,61131.156481271406,61131.146791301355,0.07708374425646475,0.7828010706852571,0.0804237871621571,0.7133468887204947,0.08686253300759121,0.7294135446612874,0.0831878615257311,0.6986658915332312,0.08196830045178913,0.7310568489000676,0.08654626562029834,0.8046682291365093,73,38.644712980010084,1.0
159,20260331,False,danish,12,36955,61131.1654312756,61131.1847851035,61131.17510498181,0.09764526963012173,0.6030429424908685,0.11396810239210077,0.37161104600310424,0.10725646765617065,0.6170245934194348,0.10719719134939946,0.43631927886592087,0.10667534243122269,0.5069994651948321,0.1033050068758123,0.7521012084181632,74,39.32424131098669,1.0
160,20260331,False,danish,12,36326,61131.18684998976,61131.2062211586,61131.196539176366,0.093351778239038,0.6040819923331963,0.1139014184880789,0.36701875899657205,0.1054545817771651,0.6205307724891463,0.11038423365562983,0.4189273265289754,0.10605828054839059,0.5026397125869725,0.10111849855149507,0.7080926838443196,75,39.838661980279724,1.0
161,20260331,False,danish,12,33528,61131.21427054495,61131.2337113337,61131.22400675283,0.09737448043916914,0.628528783425402,0.11220522487335663,0.4164136629318309,0.10983762999643269,0.6233299327943512,0.1278075351414748,0.4428437724849286,0.11232861715948793,0.5277790379091282,0.10206254762369492,0.7660784644372304,76,40.49788381548133,1.0
162,20260331,False,danish,7,17203,61131.23665489296,61131.2472583511,61131.24195700205,0.09838527911773735,0.5952433472944526,0.11964126558557754,0.3764058811227948,0.11197358493047885,0.5942946350482513,0.11921416139167856,0.41252688459507786,0.11263191774148451,0.49461768701514414,0.11364373195892566,0.736649249619604,77,40.92868979669875,1.0
163,20260331,False,danish,12,37715,61131.258964025605,61131.281179495694,61131.270051362684,0.11563578646636474,0.5218727636078457,0.14447802635486034,0.08141881973821405,0.11834715213921963,0.5512385690233027,0.1224571139760425,0.4085627869024364,0.12574510765224178,0.39077323481794973,0.11496225881162296,0.6924106990454774,78,41.602954451914414,1.0
164,20260331,False,danish,12,35735,61131.323873309055,61131.3435400467,61131.33371237972,0.1214493158479063,0.37127688158773003,0.13647261785570722,0.14307365632593863,0.11387035847106428,0.5733923780480964,0.12760149456712241,0.2572798953862615,0.1251232509352343,0.3362557028370067,0.11156205276284141,0.6830689038569376,79,43.130818860710136,1.0
165,20260401,False,danish,12,34200,61132.10073169455,61132.120107543495,61132.110425107414,0.04923785272473268,0.9144187459677632,0.05222520029775109,0.9294713316456953,0.03850088752599638,0.9433224049746477,0.05284256421325644,0.8828210027134612,0.04854506313726516,0.9175083713253919,0.056903242839242134,0.9060133302768312,80,0.23264190880581737,2.0
166,20260401,False,danish,12,33951,61132.1221958704,61132.14158029745,61132.13190982944,0.05376082060370316,0.9162513345533873,0.054229188351349884,0.9075151368357233,0.04291230211792265,0.9290624180212131,0.05347893351184461,0.8799040588411722,0.051313966675394285,0.908183237062874,0.05566028653164958,0.9058406874289913,81,0.7482752374489792,2.0
167,20260401,False,danish,12,36418,61132.151803763554,61132.17121958345,61132.161528748366,0.05028451489473032,0.9230697454990688,0.038777517815284115,0.9438402172434417,0.051556509163583474,0.8956748962185832,0.05702588965754531,0.8707156268623972,0.0498554261201382,0.9083251214558727,0.0477965811304918,0.9347558092625026,82,1.4591292916447856,2.0
168,20260401,False,danish,12,37511,61132.1733013318,61132.19258272045,61132.18294234311,0.05108877566437775,0.9104100487167275,0.04341894350912534,0.9248681899835025,0.04904943703182074,0.9068058606965553,0.06425572175106362,0.8329762988983785,0.05251169561445905,0.8937650995737909,0.04822238103030454,0.9329426132822579,83,1.9730555655551143,2.0
