ordinal,day_obs,build_used,branch,visits,pairs,first_mjd,last_mjd,mean_mjd,resid_rms_z5,corr_z5,resid_rms_z6,corr_z6,resid_rms_z7,corr_z7,resid_rms_z8,corr_z8,resid_rms_combined,corr_combined,cwfs_resid_rms_combined,cwfs_corr_combined,block_index
173,20260401,False,danish,12,35054,61132.31308401151,61132.3327255358,61132.32293165074,0.056740769324433754,0.8753752738518992,0.05262051458813075,0.8965344035819742,0.06079403584067833,0.8577784893404886,0.07885895686786429,0.7180269145631171,0.0630537138698698,0.8369287703343697,0.06794797842954432,0.8981457243979862,88
173,20260401,False,tarts,12,35054,61132.31308401151,61132.3327255358,61132.32293165074,0.08172779534022964,0.5621230484704128,0.058628883327594125,0.7672320584913855,0.03457048144053705,0.7803844797522468,0.034607648147940824,0.7060621886893071,0.05592313025210878,0.703950443850838,0.07818496279284738,0.7119813420752157,88
174,20260401,False,danish,12,33777,61132.33483539865,61132.3543647822,61132.34460753994,0.054159499186498976,0.8727236132804059,0.05567886998757803,0.8760836216573658,0.060949479828986304,0.8540660489472978,0.0771705012636798,0.7260536573262082,0.06265682977923799,0.8322317353028195,0.062494433901429516,0.8961560152078374,89
174,20260401,False,tarts,12,33777,61132.33483539865,61132.3543647822,61132.34460753994,0.08354838791384682,0.5725002020185943,0.049880539837916335,0.7781698134807532,0.03578995260035721,0.7773652400708689,0.032459563414151904,0.7666580290082564,0.0543206805500855,0.7236733211446182,0.0782647091685395,0.7467631607580401,89
175,20260401,False,danish,12,35687,61132.3738461463,61132.3935237537,61132.383666957845,0.0668965788803958,0.8389433285851245,0.06469622488180124,0.8318883291949398,0.0590145214128021,0.8676592658582839,0.07991944754609807,0.7200793529672769,0.06806354680280996,0.8146425691514063,0.06202122634571098,0.9239470514573218,90
175,20260401,False,tarts,12,35687,61132.3738461463,61132.3935237537,61132.383666957845,0.08235040767489846,0.7092113428973897,0.0604487810314848,0.7225218072847049,0.055689587479214465,0.7228378714719711,0.029358584376717255,0.7490260645196645,0.059997711211812646,0.7258992715434326,0.078017533125681,0.7806807366206174,90
176,20260401,False,danish,12,34323,61132.3956479811,61132.4152621267,61132.40546778979,0.07439690466137135,0.7916329870071693,0.06271364887013328,0.8313163238208823,0.0598304053458186,0.8583427510113278,0.08409781570317706,0.6774092552126726,0.07092253024901543,0.789675329263013,0.060029076183965815,0.9157074709896968,91
176,20260401,False,tarts,12,34323,61132.3956479811,61132.4152621267,61132.40546778979,0.08363927398779519,0.6621331754225681,0.07616204897484738,0.6700779627967778,0.06062942743531736,0.7053368887962281,0.035594895211357405,0.6461211302517845,0.06659412491634388,0.6709172893168396,0.07986103432258318,0.7210928022547917,91
177,20260402,False,danish,12,27740,61133.1598395132,61133.17921876165,61133.16954092116,0.08579846171572439,0.8912670663520285,0.10747672424880324,0.9121956063236878,0.0595059665887099,0.9249947172532642,0.06519360930345089,0.8935352473234504,0.08170647012584985,0.9054981593131077,0.08919159654927075,0.8319531031022225,92
177,20260402,False,tarts,12,27740,61133.1598395132,61133.17921876165,61133.16954092116,0.05826972070797054,0.7152694991293601,0.0851034182046178,0.5078714459574134,0.0439104253359315,0.4413773688147497,0.038495346243652105,0.5774938338590331,0.05926206475709405,0.5605030369401391,0.08007401611380376,0.528441705881972,92
178,20260402,False,danish,12,25588,61133.1813329475,61133.2006809054,61133.190987647315,0.09465502842304725,0.8848520321216564,0.11272089934449558,0.902946682491322,0.051593506043733375,0.9340952859790866,0.07735150629824088,0.8421070261965956,0.08704987212410387,0.8910002566971652,0.09578173467293578,0.8128417809647297,93
